"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_701","Bacteria","Proteobacteria","","","Unclassified_ASV_701","Unclassified_ASV_701","Unclassified_ASV_701"
"ASV_702","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group","Genus_Sva0996_marine_group"
"ASV_703","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Cerasicoccus","Genus_Cerasicoccus"
"ASV_704","Bacteria","Firmicutes","Bacilli","Bacillales","Sporolactobacillaceae","Family_Sporolactobacillaceae","Family_Sporolactobacillaceae"
"ASV_705","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group","Genus_CL500-29_marine_group"
"ASV_706","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Genus_Acinetobacter"
"ASV_707","Bacteria","","","","Unclassified_ASV_707","Unclassified_ASV_707","Unclassified_ASV_707"
"ASV_708","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","OLB8","Genus_OLB8"
"ASV_709","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","Genus_Spirochaeta_2"
"ASV_710","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","Genus_Spirochaeta_2"
"ASV_711","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group","Genus_Sva0996_marine_group"
"ASV_712","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","marina"
"ASV_713","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae","Planctomicrobium","Genus_Planctomicrobium"
"ASV_714","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Family_Unknown_Family","Family_Unknown_Family"
"ASV_715","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter","Genus_Arcobacter"
"ASV_716","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Parvularculaceae","Parvularcula","Genus_Parvularcula"
"ASV_717","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Ileibacterium","Genus_Ileibacterium"
"ASV_718","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","Genus_Spirochaeta_2"
"ASV_719","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","Genus_Spirochaeta_2"
"ASV_720","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Marinobacteraceae","Marinobacter","Genus_Marinobacter"
"ASV_721","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Family_Bacillaceae","Family_Bacillaceae"
"ASV_722","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","Genus_Synechococcus_CC9902"
"ASV_723","Bacteria","Proteobacteria","","","Unclassified_ASV_723","Unclassified_ASV_723","Unclassified_ASV_723"
"ASV_724","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Family_Muribaculaceae","Family_Muribaculaceae"
"ASV_725","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Bogoriellaceae","Georgenia","Genus_Georgenia"
"ASV_726","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Rhodopirellula","Genus_Rhodopirellula"
"ASV_727","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41","Unclassified_ASV_727","Unclassified_ASV_727","Unclassified_ASV_727"
